x,Curve1
204.85,0.1295
216.07,0.18429
225.9,0.23908
234.31,0.29387
242.73,0.34866
249.75,0.40574
255.36,0.46053
262.38,0.51761
269.39,0.5724
276.41,0.62948
282.02,0.68655
287.63,0.74135
294.65,0.79842
300.26,0.85322
307.27,0.91029
312.89,0.96737
319.9,1.02216
325.51,1.07924
332.53,1.13403
339.54,1.19111
346.56,1.2459
353.57,1.30298
360.59,1.35777
369.01,1.41256
377.43,1.46964
387.25,1.52443
398.47,1.5952
402.68,1.62716
412.5,1.64998
426.53,1.7002
439.16,1.73215
458.8,1.77779
486.87,1.80973
519.14,1.80741
531.76,1.79597
558.42,1.76169
582.27,1.71828
603.32,1.67258
622.96,1.62689
660.85,1.53095
679.09,1.48297
712.76,1.3916
731,1.34363
747.84,1.29565
766.08,1.24768
784.32,1.19971
798.38,1.16441
815.62,1.11836
836.39,1.07159
852.74,1.02698
870.86,0.99171
888.14,0.9507
910.59,0.90728
933.04,0.86159
955.49,0.81818
979.34,0.77705
996.18,0.74735
1020.03,0.70622
1045.29,0.66737
1071.94,0.62852
1097.2,0.59195
1111.23,0.57367
1137.89,0.53939
1167.35,0.5051
1196.82,0.47538
1226.28,0.44566
1255.75,0.41594
1288.02,0.39079
1318.88,0.36335
1351.15,0.34048
1383.42,0.31761
1415.69,0.29702
1447.97,0.27871
1480.24,0.26269
1514.61,0.24324
1561.96,0.21978
1609.67,0.20374
1653.16,0.1877
1692.45,0.17338
1725.77,0.16649
1759.45,0.15732
1793.12,0.14814
1826.79,0.13897
1860.47,0.13208
1895.54,0.12519
1929.22,0.11829
1962.89,0.1114
1997.97,0.10451
2031.64,0.0999
2065.31,0.09301
2100.39,0.08841
2135.47,0.0838
2169.14,0.07919
2204.22,0.07686
2237.89,0.07226
2272.97,0.06765
2306.64,0.06304
2326.28,0.06073
2361.36,0.05841
2409.4,0.05447
2447.82,0.05171
2469.4,0.05599
2501.67,0.0491
2536.74,0.04678
2570.42,0.04446
